Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
the-rayon-cheekster,The Rayon Cheekster,Color,Black,Size,M,,,Z675-BK-M,2
the-rayon-cheekster,The Rayon Cheekster,Color,Black,Size,S,,,Z675-BK-S,3
the-rayon-cheekster,The Rayon Cheekster,Color,Red,Size,2XL,,,Z675-RD-2X,1
the-rayon-cheekster,The Rayon Cheekster,Color,Red,Size,XL,,,Z675-RD-XL,2
the-rayon-cheekster,The Rayon Cheekster,Color,Red,Size,L,,,Z675-RD-L,3
the-rayon-cheekster,The Rayon Cheekster,Color,Red,Size,M,,,Z675-RD-M,4
the-rayon-cheekster,The Rayon Cheekster,Color,Red,Size,S,,,Z675-RD-S,2
the-rayon-cheekster,The Rayon Cheekster,Color,White,Size,2XL,,,Z675-WT-2X,0
the-rayon-cheekster,The Rayon Cheekster,Color,White,Size,XL,,,Z675-WT-XL,1
the-rayon-cheekster,The Rayon Cheekster,Color,White,Size,L,,,Z675-WT-L,0
the-rayon-cheekster,The Rayon Cheekster,Color,White,Size,M,,,Z675-WT-M,0
the-rayon-cheekster,The Rayon Cheekster,Color,White,Size,S,,,Z675-WT-S,2
the-rayon-cheekster,The Rayon Cheekster,Color,Mint,Size,2XL,,,Z675-MT-2X,1
the-rayon-cheekster,The Rayon Cheekster,Color,Mint,Size,XL,,,Z675-MT-XL,0
the-rayon-cheekster,The Rayon Cheekster,Color,Mint,Size,L,,,Z675-MT-L,2
the-rayon-cheekster,The Rayon Cheekster,Color,Mint,Size,M,,,Z675-MT-M,0
